CODMUN7,ano,Nome,CV_SCR2
1506187,2016,Rondon do Par ,7360
1506195,2016,Rur¢polis,8373
1506203,2016,Salin¢polis,8475
1506302,2016,Salvaterra,7984
1506351,2016,Santa B rbara do Par ,1454
1506401,2016,Santa Cruz do Arari,13922
1506500,2016,Santa Izabel do Par ,4772
1506559,2016,Santa Luzia do Par ,5220
1506583,2016,Santa Maria das Barreiras,10918
1506609,2016,Santa Maria do Par ,5110
1506708,2016,Santana do Araguaia,8544
1506807,2016,Santarm,3931
1506906,2016,Santarm Novo,9518
1507003,2016,Santo Ant“nio do Tau ,7197
1507102,2016,SÆo Caetano de Odivelas,6754
1507151,2016,SÆo Domingos do Araguaia,10186
1507201,2016,SÆo Domingos do Capim,6103
1507300,2016,SÆo Flix do Xingu,6703
1507409,2016,SÆo Francisco do Par ,9128
1507458,2016,SÆo Geraldo do Araguaia,6115
1507466,2016,SÆo JoÆo da Ponta,8795
1507474,2016,SÆo JoÆo de Pirabas,7440
1507508,2016,SÆo JoÆo do Araguaia,5336
1507607,2016,SÆo Miguel do Guam ,6282
1507706,2016,SÆo SebastiÆo da Boa Vista,9020
1507755,2016,Sapucaia,5806
1507805,2016,Senador Jos‚ Porf¡rio,5000
1507904,2016,Soure,1524
1507953,2016,Tailƒndia,8407
1507961,2016,Terra Alta,7295
1507979,2016,Terra Santa,9151
1508001,2016,Tom0A‡u,8260
1508035,2016,Tracuateua,4516
1508050,2016,TrairÆo,10145
1508084,2016,TucumÆ,8801
1508100,2016,Tucuru¡,5826
1508126,2016,Ulian¢polis,4591
1508159,2016,Uruar ,6213
1508209,2016,Vigia,5526
1508308,2016,Viseu,5036
1508357,2016,Vit¢ria do Xingu,7407
1508407,2016,Xinguara,7191
1600055,2016,Serra do Navio,4127
1600105,2016,Amap ,10435
1600154,2016,Pedra Branca do Amapari,7059
1600204,2016,Cal‡oene,7411
1600212,2016,Cutias,13294
1600238,2016,Ferreira Gomes,9312
1600253,2016,Itaubal,4771
1600279,2016,Laranjal do Jari,9181
1600303,2016,Macap ,9589
1600402,2016,MazagÆo,4661
1600501,2016,Oiapoque,5658
1600535,2016,Porto Grande,7561
1600550,2016,Pracu£ba,7229
1600600,2016,Santana,9064
1600709,2016,Tartarugalzinho,10067
1600808,2016,Vit¢ria do Jari,5766
1700251,2016,Abreulƒndia,12667
1700301,2016,Aguiarn¢polis,11447
1700350,2016,Alian‡a do Tocantins,9714
1700400,2016,Almas,7379
1700707,2016,Alvorada,9322
1701002,2016,Anan s,9884
1701051,2016,Angico,8222
1701101,2016,Aparecida do Rio Negro,9375
1701309,2016,Aragominas,12353
1701903,2016,Araguacema,7805
1702000,2016,Aragua‡u,8980
1702109,2016,Aragua¡na,7845
1702158,2016,AraguanÆ,10330
1702208,2016,Araguatins,6007
1702307,2016,Arapoema,10745
1702406,2016,Arraias,8161
1702554,2016,Augustin¢polis,8858
1702703,2016,Aurora do Tocantins,13667
1702901,2016,Axix  do Tocantins,7421
1703008,2016,Baba‡ulƒndia,10206
1703057,2016,Bandeirantes do Tocantins,7727
1703073,2016,Barra do Ouro,6782
1703107,2016,Barrolƒndia,13030
1703206,2016,Bernardo SayÆo,13846
1703305,2016,Bom Jesus do Tocantins,13611
1703602,2016,Brasilƒndia do Tocantins,11724
1703701,2016,Brejinho de Nazar,8556
1703800,2016,Buriti do Tocantins,8171
1703826,2016,Cachoeirinha,13077
1703842,2016,Campos Lindos,8994
1703867,2016,Cariri do Tocantins,11224
1703883,2016,Carmolƒndia,15333
1703891,2016,Carrasco Bonito,13478
1703909,2016,Caseara,13000
1704105,2016,Centen rio,14583
1704600,2016,Chapada de Areia,4286
1705102,2016,Chapada da Natividade,10952
1705508,2016,Colinas do Tocantins,8272
1705557,2016,Combinado,11948
1705607,2016,Concei‡Æo do Tocantins,14783
1706001,2016,Couto MagalhÆes,8077
1706100,2016,Cristalƒndia,11286
1706258,2016,Crix s do Tocantins,6250
1706506,2016,Darcin¢polis,5833
1707009,2016,Dian¢polis,9878
1707108,2016,Divin¢polis do Tocantins,11458
1707207,2016,Dois IrmÆos do Tocantins,16667
1707306,2016,Duer,8615
1707405,2016,Esperantina,8642
1707553,2016,F tima,13846
1707652,2016,Figueir¢polis,10556
1707702,2016,Filadlfia,10377
1708205,2016,Formoso do Araguaia,9494
1708254,2016,Fortaleza do TabocÆo,9839
1708304,2016,Goianorte,9867
1709005,2016,Goiatins,6996
1709302,2016,Guara¡,7093
1709500,2016,Gurupi,8813
1709807,2016,Ipueiras,11429
1710508,2016,Itacaj ,8636
1710706,2016,Itaguatins,6716
1710904,2016,Itapiratins,13409
1711100,2016,ItaporÆ do Tocantins,13056
1711506,2016,Ja£ do Tocantins,12292
1711803,2016,Juarina,14231
1711902,2016,Lagoa da ConfusÆo,8085
1711951,2016,Lagoa do Tocantins,14915
1712009,2016,Lajeado,14314
1712157,2016,Lavandeira,5926
1712405,2016,Lizarda,13333
1712454,2016,Luzin¢polis,5172
1712504,2016,Marian¢polis do Tocantins,6923
1712702,2016,Mateiros,11714
1712801,2016,Maurilƒndia do Tocantins,17500
1713205,2016,Miracema do Tocantins,7335
1713304,2016,Miranorte,3902
1713601,2016,Monte do Carmo,9896
1713700,2016,Monte Santo do Tocantins,12895
1713809,2016,Palmeiras do Tocantins,9437
1713957,2016,Muricilƒndia,7209
1714203,2016,Natividade,11311
1714302,2016,Nazar,14043
1714880,2016,Nova Olinda,7235
1715002,2016,Nova Rosalƒndia,10909
1715101,2016,Novo Acordo,12778
1715150,2016,Novo Alegre,11500
1715259,2016,Novo Jardim,11429
1715507,2016,Oliveira de F tima,14118
1715705,2016,Palmeirante,10208
1715754,2016,Palmeir¢polis,14675
1716109,2016,Para¡so do Tocantins,7964
1716208,2016,ParanÆ,9539
1716307,2016,Pau D'Arco,10678
1716505,2016,Pedro Afonso,8123
1716604,2016,Peixe,8175
1716653,2016,Pequizeiro,10500
1716703,2016,Colm‚ia,9739
1717008,2016,Pindorama do Tocantins,11493
1717206,2016,Piraquˆ,13438
1717503,2016,Pium,14865
1717800,2016,Ponte Alta do Bom Jesus,8393
1717909,2016,Ponte Alta do Tocantins,10811
1718006,2016,Porto Alegre do Tocantins,10638
1718204,2016,Porto Nacional,8025
1718303,2016,Praia Norte,7692
1718402,2016,Presidente Kennedy,8824
1718451,2016,Pugmil,10000
1718501,2016,Recursolƒndia,8788
1718550,2016,Riachinho,6176
1718659,2016,Rio da Concei‡Æo,12941
1718709,2016,Rio dos Bois,16250
1718758,2016,Rio Sono,13696
1718808,2016,Sampaio,8690
1718840,2016,Sandolƒndia,1795
1718865,2016,Santa F do Araguaia,11318
1718881,2016,Santa Maria do Tocantins,15429
1718899,2016,Santa Rita do Tocantins,10714
1718907,2016,Santa Rosa do Tocantins,9518
1719004,2016,Santa Tereza do Tocantins,10667
1720002,2016,Santa Terezinha do Tocantins,15882
1720101,2016,SÆo Bento do Tocantins,5684
1720150,2016,SÆo Flix do Tocantins,17500
1720200,2016,SÆo Miguel do Tocantins,9141
1720259,2016,SÆo Salvador do Tocantins,10286
1720309,2016,SÆo SebastiÆo do Tocantins,6627
1720499,2016,SÆo Valrio,13103
1720655,2016,Silvan¢polis,10549
1720804,2016,S¡tio Novo do Tocantins,13121
1720853,2016,Sucupira,10870
1720903,2016,Taguatinga,10489
1720937,2016,Taipas do Tocantins,16250
1720978,2016,TalismÆ,9744
1721000,2016,Palmas,8658
1721109,2016,Tocant¡nia,8702
1721208,2016,Tocantin¢polis,10273
1721257,2016,Tupirama,11250
1721307,2016,Tupiratins,15000
1722081,2016,Wanderlƒndia,7569
1722107,2016,Xambio ,8455
1100015,2017,Alta Floresta D'Oeste,9470
1100023,2017,Ariquemes,8160
1100031,2017,Cabixi,3013
1100049,2017,Cacoal,9341
1100056,2017,Cerejeiras,11115
1100064,2017,Colorado do Oeste,4054
1100072,2017,Corumbiara,12867
1100080,2017,Costa Marques,7990
1100098,2017,Espigão D'Oeste,9039
1100106,2017,Guajará-Mirim,5437
1100114,2017,Jaru,7804
1100122,2017,Ji-Paraná,8047
1100130,2017,Machadinho D'Oeste,12173
1100148,2017,Nova Brasilândia D'Oeste,8036
1100155,2017,Ouro Preto do Oeste,8069
1100189,2017,Pimenta Bueno,8436
1100205,2017,Porto Velho,9633
1100254,2017,Presidente Médici,4723
1100262,2017,Rio Crespo,12058
1100288,2017,Rolim de Moura,6205
1100296,2017,Santa Luzia D'Oeste,9734
1100304,2017,Vilhena,8045
1100320,2017,São Miguel do Guaporé,7597
1100338,2017,Nova Mamoré,6995
1100346,2017,Alvorada D'Oeste,9819
1100379,2017,Alto Alegre dos Parecis,10357
1100403,2017,Alto Paraíso,5140
1100452,2017,Buritis,10194
1100502,2017,Novo Horizonte do Oeste,9684
1100601,2017,Cacaulândia,9701
1100700,2017,Campo Novo de Rondônia,5031
1100809,2017,Candeias do Jamari,9125
1100908,2017,Castanheiras,13461
1100924,2017,Chupinguaia,10331
1100940,2017,Cujubim,11506
1101005,2017,Governador Jorge Teixeira,4864
1101104,2017,Itapuã do Oeste,9140
